Mapping_ID,Generic_ID,ATC_ID,Is_Primary,created_at,updated_at,source,version,Status
MAP000001,GEN000001,ATC000001,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000002,GEN000002,ATC000002,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000003,GEN000003,ATC000003,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000004,GEN000004,ATC000004,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000005,GEN000005,ATC000005,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000006,GEN000006,ATC000006,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000007,GEN000007,ATC000007,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000008,GEN000008,ATC000008,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000009,GEN000009,ATC000009,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000010,GEN000010,ATC000010,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000011,GEN000011,ATC000011,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000012,GEN000012,ATC000012,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
MAP000013,GEN000013,ATC000013,TRUE,2026-07-09T00:00:00,2026-07-09T00:00:00,WHO ATC,1.0.0,Active
